OrderID,CustomerName,Product,Category,Quantity,Price,OrderDate,ShipDate,Status,Country
ORD0001,Ian,Laptop,Electronics,5,1369.35,2025-06-25,2025-07-05,Pending,Australia
ORD0002,David,Headphones,Electronics,1,1186.37,2025-07-22,2025-07-29,Cancelled,France
ORD0003,Ian,Smartphone,Accessories,3,1171.65,2025-07-10,2025-07-11,Shipped,UK
ORD0004,Frank,Laptop,Accessories,4,1234.85,2025-06-28,2025-07-02,Pending,France
ORD0005,Alice,Laptop,Electronics,2,185.01,2025-06-13,2025-06-14,Shipped,Australia
ORD0006,Charlie,Smartwatch,Electronics,3,1621.66,2025-06-20,2025-06-28,Shipped,Germany
ORD0007,Alice,Smartphone,Accessories,2,209.19,2025-06-26,2025-06-30,Cancelled,Canada
ORD0008,Eva,Mouse,Accessories,3,1010.14,2025-07-28,2025-08-03,Delivered,Canada
ORD0009,Grace,Smartphone,Electronics,2,585.38,2025-07-10,2025-07-17,Cancelled,Germany
ORD0010,David,Laptop,Accessories,5,703.98,2025-06-17,2025-06-22,Shipped,France
ORD0011,Frank,Smartphone,Accessories,5,755.39,2025-06-28,2025-07-04,Delivered,UK
ORD0012,Alice,Smartwatch,Electronics,3,1366.9,2025-07-12,2025-07-13,Pending,Australia
ORD0013,Alice,Laptop,Accessories,1,611.16,2025-06-30,2025-07-07,Pending,Australia
ORD0014,Grace,Headphones,Accessories,4,1115.67,2025-07-10,2025-07-20,Shipped,France
ORD0015,Hannah,Camera,Accessories,1,120.51,2025-06-18,2025-06-23,Cancelled,UK
ORD0016,Julia,Smartphone,Accessories,4,203.23,2025-07-13,2025-07-16,Delivered,Canada
ORD0017,Alice,Monitor,Electronics,1,1076.81,2025-07-30,2025-07-31,Pending,Canada
ORD0018,Frank,Keyboard,Electronics,2,133.08,2025-07-19,2025-07-24,Delivered,Australia
ORD0019,Frank,Tablet,Electronics,4,1100.67,2025-06-27,2025-06-30,Pending,France
ORD0020,Bob,Headphones,Accessories,3,1004.06,2025-07-16,2025-07-26,Delivered,USA
ORD0021,David,Tablet,Accessories,3,1045.2,2025-06-30,2025-07-05,Shipped,USA
ORD0022,Frank,Mouse,Electronics,2,1552.94,2025-07-22,2025-07-27,Pending,Australia
ORD0023,Eva,Camera,Accessories,1,533.08,2025-07-23,2025-07-28,Shipped,Canada
ORD0024,Eva,Monitor,Accessories,3,293.77,2025-07-03,2025-07-10,Delivered,France
ORD0025,Charlie,Printer,Electronics,5,699.65,2025-06-29,2025-07-01,Pending,Canada
ORD0026,David,Printer,Electronics,5,1195.55,2025-06-22,2025-06-30,Shipped,Australia
ORD0027,Bob,Smartphone,Accessories,5,676.43,2025-07-31,2025-08-05,Delivered,France
ORD0028,Ian,Printer,Accessories,3,441.75,2025-08-09,2025-08-16,Shipped,Germany
ORD0029,Grace,Mouse,Electronics,3,1702.2,2025-08-04,2025-08-08,Delivered,Canada
ORD0030,Frank,Camera,Accessories,4,319.6,2025-07-10,2025-07-12,Shipped,Germany
